Timestamp,press_kPa,temp_C
4/23/2019 16:00,111.787,19.472
4/23/2019 16:15,112.185,12.013
4/23/2019 16:30,112.177,11.431
4/23/2019 16:45,112.149,11.236
4/23/2019 17:00,112.134,11.139
4/23/2019 17:15,112.124,11.139
4/23/2019 17:30,112.131,11.041
4/23/2019 17:45,112.099,11.041
4/23/2019 18:00,112.131,11.041
4/23/2019 18:15,112.142,11.041
4/23/2019 18:30,112.11,11.041
4/23/2019 18:45,112.11,11.041
4/23/2019 19:00,112.12,11.041
4/23/2019 19:15,112.099,11.041
4/23/2019 19:30,112.088,11.041
4/23/2019 19:45,112.077,11.041
4/23/2019 20:00,112.066,11.041
4/23/2019 20:15,112.066,11.041
4/23/2019 20:30,112.077,11.041
4/23/2019 20:45,112.066,11.041
4/23/2019 21:00,112.066,11.041
4/23/2019 21:15,112.066,11.041
4/23/2019 21:30,112.066,11.041
4/23/2019 21:45,112.055,11.041
4/23/2019 22:00,112.019,10.944
4/23/2019 22:15,111.99,11.041
4/23/2019 22:30,111.968,11.041
4/23/2019 22:45,111.957,11.041
4/23/2019 23:00,111.914,11.041
4/23/2019 23:15,111.892,11.041
4/23/2019 23:30,111.87,11.041
4/23/2019 23:45,111.859,11.041
4/24/2019 0:00,111.837,11.041
4/24/2019 0:15,111.848,11.041
4/24/2019 0:30,111.816,11.041
4/24/2019 0:45,111.805,11.041
4/24/2019 1:00,111.826,11.041
4/24/2019 1:15,111.837,11.041
4/24/2019 1:30,111.837,11.041
4/24/2019 1:45,111.826,11.041
4/24/2019 2:00,111.794,11.041
4/24/2019 2:15,111.783,11.041
4/24/2019 2:30,111.783,11.041
4/24/2019 2:45,111.783,11.041
4/24/2019 3:00,111.772,11.041
4/24/2019 3:15,111.772,11.041
4/24/2019 3:30,111.761,11.041
4/24/2019 3:45,111.761,11.041
4/24/2019 4:00,111.75,11.041
4/24/2019 4:15,111.75,11.041
4/24/2019 4:30,111.75,11.041
4/24/2019 4:45,111.739,11.041
4/24/2019 5:00,111.739,11.041
4/24/2019 5:15,111.75,11.041
4/24/2019 5:30,111.739,11.041
4/24/2019 5:45,111.75,11.041
4/24/2019 6:00,111.772,11.041
4/24/2019 6:15,111.794,11.041
4/24/2019 6:30,111.826,11.041
4/24/2019 6:45,111.826,11.041
4/24/2019 7:00,111.881,11.041
4/24/2019 7:15,111.892,11.041
4/24/2019 7:30,111.914,11.041
4/24/2019 7:45,111.935,11.041
4/24/2019 8:00,111.957,11.041
4/24/2019 8:15,111.957,11.041
4/24/2019 8:30,111.99,11.041
4/24/2019 8:45,112.001,11.041
4/24/2019 9:00,112.044,11.041
4/24/2019 9:15,112.044,11.041
4/24/2019 9:30,112.044,11.041
4/24/2019 9:45,112.044,11.041
4/24/2019 10:00,112.066,11.041
4/24/2019 10:15,112.066,11.041
4/24/2019 10:30,112.077,11.041
4/24/2019 10:45,112.088,11.041
4/24/2019 11:00,112.088,11.041
4/24/2019 11:15,112.077,11.041
4/24/2019 11:30,112.066,11.041
4/24/2019 11:45,112.088,11.041
4/24/2019 12:00,112.066,11.041
4/24/2019 12:15,112.077,11.041
4/24/2019 12:30,112.066,11.041
4/24/2019 12:45,112.055,11.041
4/24/2019 13:00,112.055,11.041
4/24/2019 13:15,112.044,11.041
4/24/2019 13:30,112.055,11.041
4/24/2019 13:45,112.033,11.041
4/24/2019 14:00,112.012,11.041
4/24/2019 14:15,112.001,11.041
4/24/2019 14:30,112.001,11.041
4/24/2019 14:45,112.001,11.041
4/24/2019 15:00,112.001,11.041
4/24/2019 15:15,111.99,11.041
4/24/2019 15:30,111.979,11.041
4/24/2019 15:45,111.957,11.041
4/24/2019 16:00,111.924,11.041
4/24/2019 16:15,111.935,11.041
4/24/2019 16:30,111.946,11.041
4/24/2019 16:45,111.968,11.041
4/24/2019 17:00,111.968,11.041
4/24/2019 17:15,111.979,11.041
4/24/2019 17:30,111.968,11.041
4/24/2019 17:45,111.957,11.041
4/24/2019 18:00,111.982,11.139
4/24/2019 18:15,111.99,11.041
4/24/2019 18:30,111.99,11.041
4/24/2019 18:45,111.982,11.139
4/24/2019 19:00,111.971,11.139
4/24/2019 19:15,111.96,11.139
4/24/2019 19:30,111.971,11.139
4/24/2019 19:45,111.982,11.139
4/24/2019 20:00,112.026,11.139
4/24/2019 20:15,112.036,11.139
4/24/2019 20:30,112.047,11.139
4/24/2019 20:45,112.036,11.139
4/24/2019 21:00,112.08,11.139
4/24/2019 21:15,112.113,11.139
4/24/2019 21:30,112.091,11.139
4/24/2019 21:45,112.113,11.139
4/24/2019 22:00,112.124,11.139
4/24/2019 22:15,112.124,11.139
4/24/2019 22:30,112.145,11.139
4/24/2019 22:45,112.156,11.139
4/24/2019 23:00,112.156,11.139
4/24/2019 23:15,112.167,11.139
4/24/2019 23:30,112.178,11.139
4/24/2019 23:45,112.178,11.139
4/25/2019 0:00,112.178,11.139
4/25/2019 0:15,112.211,11.139
4/25/2019 0:30,112.211,11.139
4/25/2019 0:45,112.222,11.139
4/25/2019 1:00,112.211,11.139
4/25/2019 1:15,112.2,11.139
4/25/2019 1:30,112.189,11.139
4/25/2019 1:45,112.2,11.139
4/25/2019 2:00,112.167,11.139
4/25/2019 2:15,112.156,11.139
4/25/2019 2:30,112.167,11.139
4/25/2019 2:45,112.134,11.139
4/25/2019 3:00,112.145,11.139
4/25/2019 3:15,112.167,11.139
4/25/2019 3:30,112.156,11.139
4/25/2019 3:45,112.167,11.139
4/25/2019 4:00,112.156,11.139
4/25/2019 4:15,112.145,11.139
4/25/2019 4:30,112.134,11.139
4/25/2019 4:45,112.124,11.139
4/25/2019 5:00,112.113,11.139
4/25/2019 5:15,112.167,11.139
4/25/2019 5:30,112.189,11.139
4/25/2019 5:45,112.2,11.139
4/25/2019 6:00,112.222,11.139
4/25/2019 6:15,112.254,11.139
4/25/2019 6:30,112.243,11.139
4/25/2019 6:45,112.287,11.139
4/25/2019 7:00,112.276,11.139
4/25/2019 7:15,112.287,11.139
4/25/2019 7:30,112.287,11.139
4/25/2019 7:45,112.309,11.139
4/25/2019 8:00,112.33,11.139
4/25/2019 8:15,112.33,11.139
4/25/2019 8:30,112.32,11.139
4/25/2019 8:45,112.32,11.139
4/25/2019 9:00,112.32,11.139
4/25/2019 9:15,112.298,11.139
4/25/2019 9:30,112.32,11.139
4/25/2019 9:45,112.287,11.139
4/25/2019 10:00,112.298,11.139
4/25/2019 10:15,112.298,11.139
4/25/2019 10:30,112.298,11.139
4/25/2019 10:45,112.32,11.139
4/25/2019 11:00,112.32,11.139
4/25/2019 11:15,112.309,11.139
4/25/2019 11:30,112.287,11.139
4/25/2019 11:45,112.323,11.236
4/25/2019 12:00,112.32,11.139
